"id","name","cnab_line_id/id"
"l10n_br_cnab_structure.cnab_line_field_group_1","Conta Corrente - Mesmo Banco","l10n_br_cnab_structure_bradesco.cnab_bradesco_240_pagamentos_segmento_a"
"l10n_br_cnab_structure.cnab_line_field_group_2","Conta Corrente - Outros Bancos","l10n_br_cnab_structure_bradesco.cnab_bradesco_240_pagamentos_segmento_a"
"l10n_br_cnab_structure.cnab_line_field_group_3","Conta Pagamento - Outros Bancos","l10n_br_cnab_structure_bradesco.cnab_bradesco_240_pagamentos_segmento_a"
"l10n_br_cnab_structure.cnab_line_field_group_4","Conta Corrente - Chave PIX","l10n_br_cnab_structure_bradesco.cnab_bradesco_240_pagamentos_segmento_a"
